experiment_id,length_bucket,sample_id,key_id,key_index,seed,geometry,nominal_fraction,ai_generated_fraction,detector_score,threshold,detected,n_tokens,n_scored_positions,timestamp
39,250,250_0,075c5cf8,0,20002,contiguous,0.4,0.4,0.5620833333333334,0.5271523178807948,True,250,240,2026-08-15T17:46:43
40,250,250_0,075c5cf8,0,20002,contiguous,0.5,0.5,0.5784810126582278,0.5271523178807948,True,250,237,2026-08-15T17:46:43
41,250,250_0,075c5cf8,0,20002,scattered,0.05,0.048,0.49918367346938775,0.5271523178807948,False,250,245,2026-08-15T17:46:43
42,250,250_0,075c5cf8,0,20002,scattered,0.1,0.1,0.5024489795918368,0.5271523178807948,False,250,245,2026-08-15T17:46:43
43,250,250_0,075c5cf8,0,20002,scattered,0.15,0.152,0.5126016260162601,0.5271523178807948,False,250,246,2026-08-15T17:46:43
44,250,250_0,075c5cf8,0,20002,scattered,0.2,0.2,0.515040650406504,0.5271523178807948,False,250,246,2026-08-15T17:46:43
45,250,250_0,075c5cf8,0,20002,scattered,0.25,0.248,0.5235772357723577,0.5271523178807948,False,250,246,2026-08-15T17:46:43
46,250,250_0,075c5cf8,0,20002,scattered,0.3,0.3,0.5276422764227642,0.5271523178807948,True,250,246,2026-08-15T17:46:43
47,250,250_0,075c5cf8,0,20002,scattered,0.4,0.4,0.5483739837398374,0.5271523178807948,True,250,246,2026-08-15T17:46:43
48,250,250_0,075c5cf8,0,20002,scattered,0.5,0.5,0.5624489795918367,0.5271523178807948,True,250,245,2026-08-15T17:46:43
49,250,250_0,075c5cf8,0,20003,contiguous,0.05,0.048,0.5057142857142857,0.5271523178807948,False,250,245,2026-08-15T17:46:43
50,250,250_0,075c5cf8,0,20003,contiguous,0.1,0.1,0.5085714285714286,0.5271523178807948,False,250,245,2026-08-15T17:46:43
51,250,250_0,075c5cf8,0,20003,contiguous,0.15,0.152,0.5139344262295082,0.5271523178807948,False,250,244,2026-08-15T17:46:43
52,250,250_0,075c5cf8,0,20003,contiguous,0.2,0.2,0.5200819672131147,0.5271523178807948,False,250,244,2026-08-15T17:46:43
53,250,250_0,075c5cf8,0,20003,contiguous,0.25,0.248,0.5290983606557377,0.5271523178807948,True,250,244,2026-08-15T17:46:43
54,250,250_0,075c5cf8,0,20003,contiguous,0.3,0.3,0.5382716049382716,0.5271523178807948,True,250,243,2026-08-15T17:46:43
55,250,250_0,075c5cf8,0,20003,contiguous,0.4,0.4,0.5435146443514645,0.5271523178807948,True,250,239,2026-08-15T17:46:43
56,250,250_0,075c5cf8,0,20003,contiguous,0.5,0.5,0.5569037656903766,0.5271523178807948,True,250,239,2026-08-15T17:46:43
57,250,250_0,075c5cf8,0,20003,scattered,0.05,0.048,0.5016326530612245,0.5271523178807948,False,250,245,2026-08-15T17:46:43
58,250,250_0,075c5cf8,0,20003,scattered,0.1,0.1,0.49918032786885247,0.5271523178807948,False,250,244,2026-08-15T17:46:43
59,250,250_0,075c5cf8,0,20003,scattered,0.15,0.152,0.5052845528455284,0.5271523178807948,False,250,246,2026-08-15T17:46:43
60,250,250_0,075c5cf8,0,20003,scattered,0.2,0.2,0.5060975609756098,0.5271523178807948,False,250,246,2026-08-15T17:46:43
61,250,250_0,075c5cf8,0,20003,scattered,0.25,0.248,0.510655737704918,0.5271523178807948,False,250,244,2026-08-15T17:46:43
62,250,250_0,075c5cf8,0,20003,scattered,0.3,0.3,0.5173553719008265,0.5271523178807948,False,250,242,2026-08-15T17:46:43
63,250,250_0,075c5cf8,0,20003,scattered,0.4,0.4,0.528395061728395,0.5271523178807948,True,250,243,2026-08-15T17:46:43
64,250,250_0,075c5cf8,0,20003,scattered,0.5,0.5,0.5366255144032922,0.5271523178807948,True,250,243,2026-08-15T17:46:43
65,250,250_0,075c5cf8,0,20004,contiguous,0.05,0.048,0.506938775510204,0.5271523178807948,False,250,245,2026-08-15T17:46:43
66,250,250_0,075c5cf8,0,20004,contiguous,0.1,0.1,0.5126530612244898,0.5271523178807948,False,250,245,2026-08-15T17:46:43
67,250,250_0,075c5cf8,0,20004,contiguous,0.15,0.152,0.5199186991869919,0.5271523178807948,False,250,246,2026-08-15T17:46:43
68,250,250_0,075c5cf8,0,20004,contiguous,0.2,0.2,0.5280487804878049,0.5271523178807948,True,250,246,2026-08-15T17:46:43
69,250,250_0,075c5cf8,0,20004,contiguous,0.25,0.248,0.5337398373983739,0.5271523178807948,True,250,246,2026-08-15T17:46:43
