experiment_id,axis,condition,param_value,prompt_id,replicate,seed,key_id,language,n_tokens,n_chars,detector_score,threshold,detected,n_scored_positions,watermarked_tokens_retained,watermarked_fraction_retained,token_overlap_original,edit_distance_vs_watermarked,edit_distance_vs_original,semantic_sim_vs_watermarked,semantic_sim_vs_original,timestamp
25,edit,punctuation,0.0390625,0,0,12345,075c5cf8,en,128,587,0.6072580645161291,0.5388429752066116,True,124,123,0.9609375,0.1796875,5,120,0.9998204374670949,0.9808363181413878,2026-08-15T16:03:44
26,edit,light_copyedit,0.1015625,0,0,12345,075c5cf8,en,128,604,0.592741935483871,0.5388429752066116,True,124,115,0.8984375,0.1796875,13,121,0.9992658619648944,0.9793741305004213,2026-08-15T16:03:44
27,edit,word_substitution,0.1484375,0,0,12345,075c5cf8,en,128,598,0.5733870967741935,0.5388429752066116,True,124,109,0.8515625,0.171875,19,121,0.9988263780937695,0.97738274569694,2026-08-15T16:03:44
28,edit,sentence_rewrite,0.203125,0,0,12345,075c5cf8,en,128,618,0.6080645161290322,0.5388429752066116,True,124,102,0.796875,0.1640625,26,123,0.9996177879693628,0.979091369998722,2026-08-15T16:03:44
29,edit,paragraph_rewrite,0.5,0,0,12345,075c5cf8,en,128,699,0.5637096774193548,0.5388429752066116,True,124,64,0.5,0.1328125,64,125,0.9978931559074461,0.9733770733770114,2026-08-15T16:03:44
30,edit,restoration,0.96875,0,0,12345,075c5cf8,en,128,675,0.5,0.5388429752066116,False,55,4,0.03125,1.0,120,0,0.9819826296166521,1.0000000000000002,2026-08-15T16:03:44
31,baseline,watermarked,1.0,1,0,13345,075c5cf8,en,128,565,0.6552845528455284,0.5388429752066116,True,123,128,1.0,0.1796875,0,124,1.0,0.998514107234086,2026-08-15T16:03:44
32,baseline,reference,0.0,1,0,13345,075c5cf8,en,128,659,0.4959677419354839,0.5388429752066116,False,124,0,0.0,1.0,124,0,0.998514107234086,0.9999999999999999,2026-08-15T16:03:44
33,mixture,keep_prefix,1.0,1,0,13345,075c5cf8,en,128,565,0.6552845528455284,0.5388429752066116,True,123,128,1.0,0.1796875,0,124,1.0,0.998514107234086,2026-08-15T16:03:44
34,mixture,keep_prefix,0.9,1,0,13345,075c5cf8,en,128,600,0.6398373983739838,0.5388429752066116,True,123,115,0.8984375,0.2578125,13,111,0.9999084379100027,0.9987138715012817,2026-08-15T16:03:44
35,mixture,keep_prefix,0.75,1,0,13345,075c5cf8,en,128,621,0.616260162601626,0.5388429752066116,True,123,96,0.75,0.3828125,31,93,0.9997000236224011,0.9989280853883299,2026-08-15T16:03:44
36,mixture,keep_prefix,0.5,1,0,13345,075c5cf8,en,128,640,0.5878048780487805,0.5388429752066116,True,123,64,0.5,0.578125,63,62,0.9993162462529401,0.9993498474053107,2026-08-15T16:03:44
37,mixture,keep_prefix,0.25,1,0,13345,075c5cf8,en,128,663,0.5382113821138211,0.5388429752066116,False,123,32,0.25,0.7890625,94,31,0.998805904104472,0.999560395437248,2026-08-15T16:03:44
38,mixture,keep_prefix,0.1,1,0,13345,075c5cf8,en,128,648,0.5112903225806451,0.5388429752066116,False,124,13,0.1015625,0.90625,112,12,0.998693847570009,0.9998399929968016,2026-08-15T16:03:44
39,mixture,keep_prefix,0.0,1,0,13345,075c5cf8,en,128,659,0.4959677419354839,0.5388429752066116,False,124,0,0.0,1.0,124,0,0.998514107234086,0.9999999999999999,2026-08-15T16:03:44
40,mixture,keep_suffix,1.0,1,0,13345,075c5cf8,en,128,565,0.6552845528455284,0.5388429752066116,True,123,128,1.0,0.1796875,0,124,1.0,0.998514107234086,2026-08-15T16:03:44
